Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Seth Curry,CHO,ATL,L,27.3,3,9,0.333,3,7,0.429,0,0,0,3,2,5,2,3,0,1,4,9,8.4,10/25/24
Caleb Martin,PHI,TOR,L,33.78,2,6,0.333,0,1,0,7,10,0.7,4,1,5,4,0,1,3,4,11,8.4,10/25/24
OG Anunoby,NYK,IND,W,34.02,6,12,0.5,1,4,0.25,1,2,0.5,0,4,4,1,1,0,1,3,14,8.3,10/25/24
Onyeka Okongwu,ATL,CHO,W,26.45,3,6,0.5,1,2,0.5,0,0,0,0,8,8,3,1,0,0,3,7,8.3,10/25/24
A.J. Green,MIL,CHI,L,11.25,3,4,0.75,3,4,0.75,0,0,0,0,1,1,1,0,0,0,1,9,8,10/25/24
Dalton Knecht,LAL,PHO,W,13.32,2,5,0.4,2,4,0.5,2,2,1,0,1,1,2,1,0,0,0,8,8,10/25/24
Donovan Mitchell,CLE,DET,W,30.12,8,21,0.381,1,8,0.125,2,4,0.5,1,1,2,5,0,0,2,3,19,8,10/25/24
Moses Moody,GSW,UTA,W,18.78,5,10,0.5,2,5,0.4,0,0,0,0,1,1,1,2,0,2,0,12,8,10/25/24
Clint Capela,ATL,CHO,W,21.55,2,2,1,0,0,0,2,2,1,1,6,7,1,1,2,2,3,6,7.8,10/25/24
Tre Mann,CHO,ATL,L,24.95,6,19,0.316,2,7,0.286,3,3,1,3,0,3,4,1,0,3,3,17,7.8,10/25/24
Pascal Siakam,IND,NYK,L,23.22,5,11,0.455,0,4,0,2,2,1,2,3,5,2,0,0,2,1,12,7.6,10/25/24
Ryan Dunn,PHO,LAL,L,13.52,3,5,0.6,3,5,0.6,0,0,0,0,3,3,1,0,0,0,2,9,7.5,10/25/24
Deandre Ayton,POR,NOP,L,32.93,5,14,0.357,0,0,0,0,1,0,2,13,15,2,0,2,1,4,10,7.3,10/25/24
Jalen Duren,DET,CLE,L,29.2,2,4,0.5,0,0,0,1,4,0.25,3,4,7,5,1,1,1,5,5,7.3,10/25/24
T.J. McConnell,IND,NYK,L,16.2,3,4,0.75,0,0,0,1,2,0.5,0,2,2,5,0,0,2,0,7,7.1,10/25/24
Jalen Smith,CHI,MIL,W,14.83,4,9,0.444,3,5,0.6,0,0,0,3,2,5,1,0,0,1,4,11,7.1,10/25/24
Kris Murray,POR,NOP,L,15,3,5,0.6,1,1,1,0,0,0,1,2,3,2,0,0,0,1,7,7,10/25/24
Gary Payton,GSW,UTA,W,12.75,2,3,0.667,0,1,0,0,0,0,0,1,1,2,3,0,0,1,4,7,10/25/24
Lindy Waters,GSW,UTA,W,6.82,2,3,0.667,2,3,0.667,0,0,0,0,1,1,1,1,0,0,0,6,6.7,10/25/24
Jalen Suggs,ORL,BRK,W,21.63,3,6,0.5,2,3,0.667,2,2,1,0,5,5,1,1,0,3,2,10,6.4,10/25/24
Delon Wright,MIL,CHI,L,13.13,2,3,0.667,1,2,0.5,0,0,0,0,0,0,3,1,0,0,1,5,6.4,10/25/24
Mason Plumlee,PHO,LAL,L,18.98,3,4,0.75,0,0,0,0,0,0,1,6,7,0,1,0,0,4,6,6.3,10/25/24
Tim Hardaway,DET,CLE,L,23.17,3,6,0.5,3,5,0.6,0,0,0,0,3,3,1,0,0,1,1,9,6.2,10/25/24
Garrison Mathews,ATL,CHO,W,18.53,2,3,0.667,2,3,0.667,2,2,1,0,1,1,0,0,0,0,2,8,6.2,10/25/24
Drew Eubanks,UTA,GSW,L,5.5,1,1,1,1,1,1,1,2,0.5,2,0,2,2,0,0,0,0,4,6.1,10/25/24
Eric Gordon,PHI,TOR,L,20.38,1,4,0.25,1,2,0.5,5,7,0.714,0,1,1,2,0,0,0,1,8,6.1,10/25/24
Royce O'Neale,PHO,LAL,L,27.93,2,5,0.4,1,3,0.333,2,2,1,0,4,4,4,1,0,2,3,7,6.1,10/25/24
Chris Boucher,TOR,PHI,W,19.27,0,5,0,0,4,0,4,4,1,0,3,3,1,2,4,1,0,4,5.9,10/25/24
Nic Claxton,BRK,ORL,L,20.43,1,4,0.25,0,0,0,2,2,1,1,4,5,3,1,1,1,1,4,5.9,10/25/24
Donovan Clingan,POR,NOP,L,14.43,1,1,1,0,0,0,2,3,0.667,2,4,6,0,0,4,2,3,4,5.5,10/25/24
Keyonte George,UTA,GSW,L,29.82,4,12,0.333,3,8,0.375,1,1,1,1,1,2,3,2,0,5,0,12,5.3,10/25/24
Walker Kessler,UTA,GSW,L,20.25,1,1,1,0,0,0,0,0,0,3,6,9,2,0,1,2,1,2,5.3,10/25/24
Isaac Okoro,CLE,DET,W,17.98,2,2,1,0,0,0,0,0,0,1,1,2,3,0,0,0,3,4,5.3,10/25/24
Reed Sheppard,HOU,MEM,W,12.63,2,5,0.4,2,4,0.5,0,0,0,0,0,0,2,1,0,0,1,6,5.3,10/25/24
Miles McBride,NYK,IND,W,20.62,3,4,0.75,2,2,1,0,0,0,0,2,2,2,0,0,2,3,8,5.2,10/25/24
Cameron Payne,NYK,IND,W,22.03,3,9,0.333,1,5,0.2,0,1,0,1,1,2,3,1,0,0,1,7,5.2,10/25/24
Josh Green,CHO,ATL,L,17.65,2,5,0.4,1,3,0.333,0,0,0,1,2,3,2,1,1,0,4,5,5.1,10/25/24
Lauri Markkanen,UTA,GSW,L,26.83,4,17,0.235,1,5,0.2,4,7,0.571,2,6,8,2,1,0,2,0,13,5.1,10/25/24
Herbert Jones,NOP,POR,W,29.18,4,9,0.444,0,3,0,0,0,0,1,0,1,1,2,1,2,1,8,5,10/25/24
Jake LaRavia,MEM,HOU,L,23.45,2,4,0.5,0,2,0,2,5,0.4,3,3,6,4,0,0,2,4,6,5,10/25/24
Ziaire Williams,BRK,ORL,L,18.7,3,7,0.429,1,2,0.5,0,0,0,1,6,7,1,1,0,1,4,7,4.9,10/25/24
Cole Anthony,ORL,BRK,W,19.58,1,3,0.333,1,2,0.5,1,2,0.5,0,1,1,2,3,0,1,2,4,4.8,10/25/24
Toumani Camara,POR,NOP,L,24.93,2,6,0.333,1,2,0.5,0,0,0,4,2,6,2,1,0,1,4,5,4.8,10/25/24
KJ Martin,PHI,TOR,L,24.32,1,1,1,0,0,0,0,0,0,0,3,3,3,1,1,0,4,2,4.8,10/25/24
Gabe Vincent,LAL,PHO,W,20.58,2,5,0.4,1,3,0.333,0,0,0,1,1,2,0,3,0,0,4,5,4.7,10/25/24
Brice Sensabaugh,UTA,GSW,L,17.8,3,9,0.333,2,7,0.286,1,1,1,2,1,3,0,0,0,1,0,9,4.6,10/25/24
Daniel Theis,NOP,POR,W,18.45,1,4,0.25,0,2,0,3,4,0.75,1,5,6,4,0,0,1,4,5,4.6,10/25/24
Dalen Terry,CHI,MIL,W,12.35,0,1,0,0,0,0,3,4,0.75,1,1,2,1,1,1,0,2,3,4.5,10/25/24
Gary Harris,ORL,BRK,W,16.37,2,5,0.4,2,5,0.4,0,0,0,0,1,1,0,0,1,0,0,6,4.3,10/25/24
Cameron Johnson,BRK,ORL,L,35.4,4,12,0.333,2,10,0.2,2,3,0.667,1,1,2,2,0,1,2,4,12,4.3,10/25/24
D'Angelo Russell,LAL,PHO,W,29.28,1,6,0.167,1,3,0.333,2,2,1,1,1,2,5,1,1,2,3,5,4.2,10/25/24
Quenton Jackson,IND,NYK,L,4.4,0,1,0,0,1,0,2,2,1,1,0,1,2,1,0,0,1,2,4,10/25/24
Guerschon Yabusele,PHI,TOR,L,17.47,3,6,0.5,0,2,0,3,3,1,0,4,4,1,0,1,3,4,9,4,10/25/24
