Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Jaime Jaquez,MIA,NYK,L,27.3,2,10,0.2,0,2,0,4,8,0.5,2,6,8,4,0,0,1,4,8,3.6,10/30/24
Tristan Thompson,CLE,LAL,W,5.27,2,2,1,0,0,0,0,1,0,0,3,3,1,0,0,1,0,4,3.6,10/30/24
Lindy Waters,GSW,NOP,W,29.97,1,5,0.2,1,5,0.2,0,0,0,0,1,1,3,1,1,0,1,3,3.6,10/30/24
Bronny James,LAL,CLE,L,5.27,1,2,0.5,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2,3.4,10/30/24
Terance Mann,LAC,POR,L,19.33,2,5,0.4,0,2,0,0,0,0,3,1,4,3,0,0,1,4,4,3.2,10/30/24
Georges Niang,CLE,LAL,W,21.55,2,4,0.5,1,3,0.333,0,0,0,1,1,2,2,1,0,2,3,5,3.2,10/30/24
Adama Sanogo,CHI,ORL,W,8.75,2,4,0.5,0,0,0,0,0,0,1,0,1,1,0,0,0,1,4,3,10/30/24
Simone Fontecchio,DET,PHI,W,17.45,0,1,0,0,1,0,2,2,1,1,3,4,2,0,0,1,1,2,2.9,10/30/24
Dru Smith,MIA,NYK,L,16.37,1,4,0.25,0,1,0,0,0,0,0,4,4,0,0,3,0,0,2,2.9,10/30/24
Jrue Holiday,BOS,IND,L,24.67,3,9,0.333,1,3,0.333,1,2,0.5,1,2,3,4,0,0,3,2,8,2.8,10/30/24
John Konchar,MEM,BRK,L,19.2,1,2,0.5,1,2,0.5,0,0,0,0,3,3,0,0,1,1,0,3,2.6,10/30/24
Reece Beekman,GSW,NOP,W,1.37,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2.4,10/30/24
Trey Jemison,NOP,GSW,L,1.37,1,2,0.5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2.4,10/30/24
Moses Moody,GSW,NOP,W,30.1,3,9,0.333,2,6,0.333,0,0,0,1,3,4,3,0,0,3,3,8,2.4,10/30/24
Andrew Nembhard,IND,BOS,W,5.05,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2.4,10/30/24
Zach Collins,SAS,OKC,L,12.47,1,3,0.333,1,2,0.5,0,0,0,2,2,4,1,0,1,2,1,3,2.3,10/30/24
Austin Reaves,LAL,CLE,L,27.83,2,6,0.333,1,4,0.25,2,2,1,0,2,2,3,0,0,4,0,7,2.3,10/30/24
Zion Williamson,NOP,GSW,L,32.73,5,20,0.25,0,1,0,2,7,0.286,6,6,12,4,0,1,4,3,12,2.3,10/30/24
Kevon Looney,GSW,NOP,W,8.55,1,1,1,0,0,0,0,0,0,1,3,4,1,0,0,1,2,2,2.2,10/30/24
Jericho Sims,NYK,MIA,W,9.22,1,1,1,0,0,0,0,0,0,1,2,3,0,0,0,0,2,2,2.2,10/30/24
Jared Butler,WAS,ATL,W,9.68,1,2,0.5,0,0,0,0,0,0,0,2,2,2,0,0,1,0,2,2,10/30/24
Moussa Diabaté,CHO,TOR,W,9.43,0,0,0,0,0,0,0,0,0,1,3,4,1,0,0,0,1,0,1.9,10/30/24
Brandon Boston,NOP,GSW,L,10.25,0,3,0,0,1,0,1,2,0.5,0,3,3,2,2,0,1,0,1,1.8,10/30/24
Scotty Pippen ,MEM,BRK,L,20.03,1,4,0.25,0,2,0,3,3,1,0,0,0,4,1,0,3,4,5,1.8,10/30/24
Larry Nance,ATL,WAS,L,6.87,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.7,10/30/24
Eric Gordon,PHI,DET,L,16.07,1,3,0.333,0,2,0,1,1,1,0,0,0,1,0,0,0,1,3,1.6,10/30/24
Alex Caruso,OKC,SAS,W,21.9,0,5,0,0,3,0,0,0,0,0,2,2,2,4,0,1,0,0,1.5,10/30/24
Jett Howard,ORL,CHI,L,11.02,1,4,0.25,1,4,0.25,0,0,0,0,2,2,0,0,1,0,1,3,1.5,10/30/24
Marvin Bagley,WAS,ATL,W,5.52,1,2,0.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1.3,10/30/24
Ricky Council,PHI,DET,L,6.55,1,2,0.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1.3,10/30/24
Jay Huff,MEM,BRK,L,9.85,2,3,0.667,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,1.3,10/30/24
Gabe Vincent,LAL,CLE,L,16.15,2,5,0.4,1,3,0.333,0,0,0,0,0,0,0,0,0,1,0,5,1.3,10/30/24
Onyeka Okongwu,ATL,WAS,L,24.12,1,5,0.2,0,4,0,0,0,0,1,2,3,2,0,0,0,1,2,1.2,10/30/24
Aaron Wiggins,OKC,SAS,W,17.87,2,8,0.25,0,3,0,0,0,0,0,3,3,3,0,0,1,0,4,1.2,10/30/24
Miles Bridges,CHO,TOR,W,23.9,2,11,0.182,1,7,0.143,2,2,1,0,3,3,2,0,1,2,0,7,1.1,10/30/24
Jake LaRavia,MEM,BRK,L,25.63,1,10,0.1,0,2,0,1,2,0.5,5,2,7,5,0,1,2,3,3,1.1,10/30/24
Sandro Mamukelashvili,SAS,OKC,L,7.83,1,3,0.333,1,2,0.5,0,0,0,1,4,5,1,0,0,2,2,3,1.1,10/30/24
Patrick Baldwin,WAS,ATL,W,2.95,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10/30/24
Sidy Cissoko,SAS,OKC,L,2.77,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,10/30/24
Marcus Smart,MEM,BRK,L,6.28,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,10/30/24
Jaylon Tyson,CLE,LAL,W,5.27,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,10/30/24
Adem Bona,PHI,DET,L,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7,10/30/24
Pat Spencer,GSW,NOP,W,1.37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,10/30/24
Duncan Robinson,MIA,NYK,L,13.9,2,7,0.286,1,5,0.2,0,0,0,0,2,2,0,0,0,1,0,5,0.5,10/30/24
Bruno Fernando,TOR,CHO,L,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.3,10/30/24
Shake Milton,BRK,MEM,W,1.12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,10/30/24
Isaac Okoro,CLE,LAL,W,19.98,1,3,0.333,1,2,0.5,0,0,0,0,0,0,0,1,0,0,5,3,0.3,10/30/24
Gary Payton,GSW,NOP,W,7.32,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,2,0,0.3,10/30/24
Jabari Walker,POR,LAC,W,5.72,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,10/30/24
Blake Wesley,SAS,OKC,L,12.95,2,5,0.4,0,2,0,1,2,0.5,0,1,1,0,0,0,2,0,5,0.2,10/30/24
Julian Phillips,CHI,ORL,W,14.12,1,4,0.25,1,4,0.25,1,2,0.5,0,1,1,0,1,0,2,1,4,0.1,10/30/24
Santi Aldama,MEM,BRK,L,22.05,1,5,0.2,0,2,0,0,0,0,0,3,3,0,2,0,1,2,2,0,10/30/24
Yongxi Cui,BRK,MEM,W,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/30/24
Johnny Davis,WAS,ATL,W,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/30/24
Alex Ducas,OKC,SAS,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/30/24
Anthony Gill,WAS,ATL,W,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/30/24
Jaylen Martin,BRK,MEM,W,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/30/24
Tyrese Martin,BRK,MEM,W,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/30/24
Xavier Tillman,BOS,IND,L,7.63,0,3,0,0,1,0,0,0,0,1,1,2,0,1,0,0,0,0,-0.1,10/30/24
Jordan Walsh,BOS,IND,L,7.98,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-0.1,10/30/24
Adam Flagler,OKC,SAS,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4,10/30/24
Gary Harris,ORL,CHI,L,18.37,0,3,0,0,2,0,0,0,0,1,1,2,1,0,0,0,0,0,-0.4,10/30/24
Dillon Jones,OKC,SAS,W,2.77,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.4,10/30/24
Torrey Craig,CHI,ORL,W,3.43,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,-0.5,10/30/24
Matas Buzelis,CHI,ORL,W,4.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,10/30/24
Yuki Kawamura,MEM,BRK,L,1.3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,10/30/24
Gui Santos,GSW,NOP,W,1.37,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,10/30/24
Jerami Grant,POR,LAC,W,33.72,3,14,0.214,2,7,0.286,0,0,0,2,1,3,1,0,0,2,2,8,-1,10/30/24
Caleb Martin,PHI,DET,L,32.58,2,10,0.2,1,3,0.333,2,4,0.5,1,4,5,1,0,0,2,4,7,-1,10/30/24
Yves Missi,NOP,GSW,L,12.03,0,5,0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,-1.1,10/30/24
Julian Champagnie,SAS,OKC,L,20.03,1,5,0.2,1,4,0.25,0,0,0,0,3,3,0,1,0,3,0,3,-1.2,10/30/24
Noah Clowney,BRK,MEM,W,13.65,2,8,0.25,1,5,0.2,0,0,0,0,2,2,0,0,0,0,5,5,-1.2,10/30/24
Jamison Battle,TOR,CHO,L,14.05,0,2,0,0,2,0,0,0,0,0,3,3,0,0,0,0,2,0,-1.3,10/30/24
Cam Reddish,LAL,CLE,L,9.22,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1.4,10/30/24
Stephon Castle,SAS,OKC,L,20.17,0,5,0,0,3,0,0,0,0,0,2,2,1,0,1,0,0,0,-1.5,10/30/24
Jalen Duren,DET,PHI,W,10.72,0,0,0,0,0,0,0,2,0,3,3,6,1,0,0,2,6,0,-1.5,10/30/24
Daniel Theis,NOP,GSW,L,5.27,0,2,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,-1.5,10/30/24
Dalen Terry,CHI,ORL,W,11.05,1,6,0.167,0,2,0,0,0,0,0,2,2,0,0,0,0,2,2,-2,10/30/24
Jarace Walker,IND,BOS,W,8.47,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,4,2,0,-3.2,10/30/24
Devin Booker,PHO,LAC,W,37.77,11,18,0.611,5,9,0.556,13,15,0.867,1,4,5,8,3,0,2,1,40,39.1,10/31/24
Giannis Antetokounmpo,MIL,MEM,L,33.52,17,22,0.773,0,0,0,3,8,0.375,1,10,11,4,1,1,1,4,37,32,10/31/24
Ja Morant,MEM,MIL,W,28.9,9,16,0.563,2,5,0.4,6,7,0.857,1,9,10,14,1,0,3,0,26,29.2,10/31/24
Victor Wembanyama,SAS,UTA,W,33.57,9,20,0.45,4,13,0.308,3,3,1,2,7,9,7,5,5,3,3,25,27.3,10/31/24
James Harden,LAC,PHO,L,35.68,8,19,0.421,3,10,0.3,6,7,0.857,0,10,10,13,2,2,6,2,25,23.2,10/31/24
Kyrie Irving,DAL,HOU,L,42.83,10,20,0.5,5,6,0.833,3,3,1,4,4,8,7,0,0,3,2,28,23.1,10/31/24
Ivica Zubac,LAC,PHO,L,35.53,9,10,0.9,0,0,0,4,5,0.8,5,7,12,1,1,0,2,1,22,23.1,10/31/24
Chris Paul,SAS,UTA,W,32.38,8,13,0.615,3,7,0.429,0,0,0,0,7,7,10,2,0,1,2,19,22.4,10/31/24
Royce O'Neale,PHO,LAC,W,28.62,7,8,0.875,5,6,0.833,2,2,1,1,6,7,1,1,1,0,3,21,21.9,10/31/24
Luka Dončić,DAL,HOU,L,37.52,12,25,0.48,3,7,0.429,2,4,0.5,0,5,5,2,1,0,1,5,29,16.4,10/31/24
Santi Aldama,MEM,MIL,W,33.1,7,14,0.5,1,4,0.25,4,4,1,2,7,9,2,1,0,3,1,19,14.5,10/31/24
Alperen Sengun,HOU,DAL,W,34.78,5,16,0.313,0,1,0,7,9,0.778,6,6,12,4,0,1,1,3,17,14.3,10/31/24
Tari Eason,HOU,DAL,W,18.7,6,10,0.6,1,2,0.5,2,3,0.667,2,2,4,2,0,1,0,1,15,13.7,10/31/24
Kevin Durant,PHO,LAC,W,38.68,7,13,0.538,2,4,0.5,2,3,0.667,0,5,5,4,1,2,4,1,18,13.6,10/31/24
Jaylen Wells,MEM,MIL,W,35.62,5,9,0.556,3,6,0.5,3,3,1,1,6,7,1,0,0,1,2,16,13.1,10/31/24
Jalen Green,HOU,DAL,W,36.32,9,21,0.429,3,8,0.375,2,3,0.667,0,12,12,4,1,1,5,4,23,13,10/31/24
John Collins,UTA,SAS,L,27.88,6,13,0.462,0,1,0,2,2,1,4,7,11,3,1,1,2,3,14,12.8,10/31/24
Collin Sexton,UTA,SAS,L,24.72,5,11,0.455,0,0,0,6,6,1,0,3,3,3,2,0,1,5,16,12.3,10/31/24
Jake LaRavia,MEM,MIL,W,32.72,3,6,0.5,1,3,0.333,4,6,0.667,1,9,10,3,2,0,1,4,11,12.1,10/31/24
Norman Powell,LAC,PHO,L,30.63,9,21,0.429,4,11,0.364,1,2,0.5,0,2,2,2,1,0,2,1,23,12.1,10/31/24
Dillon Brooks,HOU,DAL,W,40.9,6,15,0.4,2,9,0.222,3,4,0.75,1,3,4,2,0,1,0,1,17,11.8,10/31/24
Jabari Smith,HOU,DAL,W,29.3,5,10,0.5,1,5,0.2,3,4,0.75,3,3,6,0,1,0,0,3,14,11.4,10/31/24
Scotty Pippen ,MEM,MIL,W,26.9,5,8,0.625,1,3,0.333,5,5,1,0,3,3,1,1,0,3,2,16,11.2,10/31/24
Ryan Dunn,PHO,LAC,W,34.3,6,12,0.5,4,9,0.444,0,0,0,1,3,4,0,1,0,0,5,16,10.6,10/31/24
Amen Thompson,HOU,DAL,W,17.97,4,5,0.8,0,0,0,2,2,1,2,2,4,1,1,0,1,2,10,10,10/31/24
Julian Champagnie,SAS,UTA,W,25.17,3,7,0.429,0,1,0,0,0,0,2,4,6,2,3,0,0,0,6,9.3,10/31/24
Derrick Jones,LAC,PHO,L,24.32,4,10,0.4,1,3,0.333,2,2,1,1,2,3,2,3,0,0,5,11,9.3,10/31/24
Kevin Porter,LAC,PHO,L,17.37,6,12,0.5,0,3,0,2,2,1,1,4,5,2,0,1,2,2,14,9.2,10/31/24
Tyus Jones,PHO,LAC,W,33.17,3,8,0.375,1,4,0.25,0,0,0,0,3,3,11,0,0,1,3,7,9,10/31/24
P.J. Washington,DAL,HOU,L,37.42,3,6,0.5,0,2,0,0,2,0,1,8,9,1,3,3,1,3,6,8.9,10/31/24
Zach Edey,MEM,MIL,W,23.72,5,9,0.556,0,0,0,0,0,0,2,6,8,0,1,1,1,3,10,8.4,10/31/24
Sandro Mamukelashvili,SAS,UTA,W,10.65,4,5,0.8,1,2,0.5,1,1,1,0,1,1,0,0,0,0,0,10,8.4,10/31/24
Jeremy Sochan,SAS,UTA,W,31.12,5,13,0.385,1,4,0.25,0,2,0,2,3,5,3,2,1,1,2,11,8.4,10/31/24
Delon Wright,MIL,MEM,L,20.7,3,4,0.75,2,2,1,0,0,0,0,1,1,2,0,1,0,2,8,8,10/31/24
Kyle Filipowski,UTA,SAS,L,20.12,5,8,0.625,2,4,0.5,0,0,0,1,4,5,1,0,0,2,3,12,7.8,10/31/24
Brandon Clarke,MEM,MIL,W,11.68,3,3,1,0,0,0,1,1,1,0,2,2,2,0,0,0,1,7,7.7,10/31/24
Brook Lopez,MIL,MEM,L,23.58,4,8,0.5,3,6,0.5,1,2,0.5,0,3,3,1,0,0,0,4,12,7.6,10/31/24
Terance Mann,LAC,PHO,L,31.18,4,8,0.5,0,2,0,0,0,0,3,1,4,2,1,0,0,3,8,7.6,10/31/24
Walker Kessler,UTA,SAS,L,27.57,3,9,0.333,0,0,0,0,0,0,4,7,11,1,0,3,1,1,6,7.2,10/31/24
Keldon Johnson,SAS,UTA,W,27.73,3,10,0.3,1,6,0.167,6,7,0.857,2,2,4,0,1,0,2,2,13,7,10/31/24
Jusuf Nurkić,PHO,LAC,W,23.08,3,6,0.5,1,2,0.5,4,4,1,0,3,3,2,0,0,3,2,11,6.5,10/31/24
Bobby Portis,MIL,MEM,L,24.93,5,14,0.357,1,5,0.2,0,0,0,5,2,7,0,1,0,1,2,11,6.5,10/31/24
Klay Thompson,DAL,HOU,L,30.48,5,13,0.385,2,9,0.222,0,0,0,0,1,1,1,1,0,0,1,12,6.5,10/31/24
Mason Plumlee,PHO,LAC,W,17.38,3,7,0.429,0,0,0,2,4,0.5,4,2,6,0,2,1,2,3,8,6.4,10/31/24
Harrison Barnes,SAS,UTA,W,24.37,2,6,0.333,0,3,0,4,4,1,0,2,2,0,0,1,0,0,8,5.9,10/31/24
Kris Dunn,LAC,PHO,L,23.53,2,5,0.4,2,2,1,0,0,0,3,1,4,2,0,0,0,3,6,5.9,10/31/24
Nicolas Batum,LAC,PHO,L,21.5,1,4,0.25,1,3,0.333,0,0,0,1,4,5,3,0,4,1,2,3,5.6,10/31/24
Malaki Branham,SAS,UTA,W,16.6,1,5,0.2,1,2,0.5,3,4,0.75,0,2,2,1,3,0,1,1,6,5.4,10/31/24
Stephon Castle,SAS,UTA,W,20.93,3,8,0.375,1,2,0.5,1,2,0.5,2,2,4,1,1,0,0,4,8,5.3,10/31/24
Daniel Gafford,DAL,HOU,L,15.08,3,4,0.75,0,0,0,0,0,0,1,2,3,1,0,2,1,4,6,5.2,10/31/24
Taurean Prince,MIL,MEM,L,27.4,2,8,0.25,1,6,0.167,0,0,0,0,2,2,3,4,0,1,2,5,5.1,10/31/24
Drew Eubanks,UTA,SAS,L,20.43,2,3,0.667,0,0,0,2,2,1,3,2,5,1,0,2,3,4,6,4.9,10/31/24
Jaren Jackson,MEM,MIL,W,26.15,5,12,0.417,0,4,0,3,3,1,0,5,5,2,0,0,3,4,13,4.9,10/31/24
Patty Mills,UTA,SAS,L,16.37,3,7,0.429,3,6,0.5,0,0,0,1,0,1,1,1,0,3,0,9,4.7,10/31/24
Keyonte George,UTA,SAS,L,30.35,5,14,0.357,1,9,0.111,4,5,0.8,1,3,4,5,0,0,7,1,15,4.5,10/31/24
Amir Coffey,LAC,PHO,L,10.47,2,3,0.667,1,1,1,2,3,0.667,0,1,1,0,0,0,0,3,7,4.4,10/31/24
Dereck Lively,DAL,HOU,L,15,2,4,0.5,0,0,0,2,2,1,1,2,3,2,0,1,1,5,6,4.4,10/31/24
Naji Marshall,DAL,HOU,L,21.63,2,3,0.667,0,1,0,0,0,0,0,2,2,3,0,1,1,2,4,4.3,10/31/24
Grayson Allen,PHO,LAC,W,18.92,1,8,0.125,0,5,0,0,0,0,0,5,5,3,4,0,0,1,2,4,10/31/24
Dwight Powell,DAL,HOU,L,6.33,1,1,1,0,0,0,2,2,1,2,0,2,0,0,0,1,1,4,3.7,10/31/24
Gary Trent,MIL,MEM,L,18.15,4,12,0.333,0,7,0,1,1,1,0,2,2,0,1,0,0,1,9,3.4,10/31/24
Brice Sensabaugh,UTA,SAS,L,14.52,2,3,0.667,1,2,0.5,0,0,0,0,3,3,1,0,0,2,0,5,3.3,10/31/24
Steven Adams,HOU,DAL,W,9.97,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,2,0,3,10/31/24
Ryan Rollins,MIL,MEM,L,4.73,1,2,0.5,1,2,0.5,1,2,0.5,0,0,0,1,0,1,1,0,4,3,10/31/24
Spencer Dinwiddie,DAL,HOU,L,12.25,0,5,0,0,3,0,4,4,1,0,1,1,3,0,0,0,0,4,2.9,10/31/24
Cam Whitmore,HOU,DAL,W,7.52,2,6,0.333,1,2,0.5,1,2,0.5,1,0,1,1,0,0,1,1,6,2.2,10/31/24
Oso Ighodaro,PHO,LAC,W,4.58,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,2,10/31/24
Reed Sheppard,HOU,DAL,W,5.25,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,10/31/24
Andre Jackson,MIL,MEM,L,18.78,1,2,0.5,0,1,0,0,2,0,1,4,5,1,2,1,2,5,2,1.5,10/31/24
Jaden Hardy,DAL,HOU,L,11.27,1,3,0.333,0,1,0,0,0,0,1,1,2,1,1,0,1,2,2,1.2,10/31/24
Jay Huff,MEM,MIL,W,16.58,1,4,0.25,0,2,0,2,2,1,0,2,2,1,0,1,1,4,4,1,10/31/24
Liam Robbins,MIL,MEM,L,4.73,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0.9,10/31/24
Colin Castleton,MEM,MIL,W,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7,10/31/24
MarJon Beauchamp,MIL,MEM,L,4.73,1,3,0.333,0,1,0,0,0,0,1,1,2,0,0,0,1,0,2,0.3,10/31/24
Sidy Cissoko,SAS,UTA,W,0.43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.3,10/31/24
Cody Williams,UTA,SAS,L,23.62,0,6,0,0,5,0,2,2,1,1,4,5,2,0,0,1,0,2,0.1,10/31/24
Charles Bassey,SAS,UTA,W,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/31/24
Kai Jones,LAC,PHO,L,9.77,0,1,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,10/31/24
Damian Lillard,MIL,MEM,L,33.35,1,12,0.083,0,6,0,2,2,1,1,1,2,6,1,0,1,3,4,0,10/31/24
Fred VanVleet,HOU,DAL,W,39.3,2,13,0.154,0,7,0,0,0,0,2,3,5,4,0,0,0,3,4,-0.4,10/31/24
A.J. Green,MIL,MEM,L,4.73,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,10/31/24
Yuki Kawamura,MEM,MIL,W,2.92,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,10/31/24
Monte Morris,PHO,LAC,W,3.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,10/31/24
Jordan Clarkson,UTA,SAS,L,21.12,1,6,0.167,0,4,0,1,2,0.5,0,3,3,1,2,0,3,1,3,-1,10/31/24
Pat Connaughton,MIL,MEM,L,15.92,1,7,0.143,1,5,0.2,0,0,0,0,3,3,2,0,0,1,2,3,-1,10/31/24
Quentin Grimes,DAL,HOU,L,10.18,0,1,0,0,1,0,1,3,0.333,0,1,1,0,0,0,0,2,1,-1,10/31/24
Tyler Smith,MIL,MEM,L,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,-1.8,10/31/24
Johnny Juzang,UTA,SAS,L,13.32,0,2,0,0,1,0,0,0,0,0,2,2,0,0,0,1,1,0,-2.2,10/31/24
Zach Collins,SAS,UTA,W,11.17,0,3,0,0,1,0,0,0,0,1,1,2,0,0,0,1,1,0,-2.5,10/31/24
Blake Wesley,SAS,UTA,W,5.45,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,-3.8,10/31/24
Anthony Davis,LAL,TOR,W,35.72,14,20,0.7,0,0,0,10,11,0.909,1,10,11,2,3,2,3,0,38,35.7,11/1/24
Nikola Vučević,CHI,BRK,L,33.95,10,11,0.909,3,4,0.75,5,5,1,3,8,11,3,1,1,0,0,28,32.6,11/1/24
Zion Williamson,NOP,IND,W,36.9,14,20,0.7,1,2,0.5,5,8,0.625,1,5,6,10,2,0,3,3,34,31.4,11/1/24
Nikola Jokić,DEN,MIN,L,39.7,8,16,0.5,2,3,0.667,8,10,0.8,2,7,9,13,3,1,3,1,26,30.1,11/1/24
Aaron Gordon,DEN,MIN,L,38.05,11,18,0.611,5,7,0.714,4,5,0.8,4,7,11,2,1,0,0,2,31,28.9,11/1/24
Jalen Brunson,NYK,DET,W,30.67,14,22,0.636,6,8,0.75,2,4,0.5,0,1,1,5,2,0,2,2,36,28.4,11/1/24
RJ Barrett,TOR,LAL,L,31.8,14,22,0.636,3,5,0.6,2,2,1,1,4,5,12,0,0,4,3,33,28.3,11/1/24
LeBron James,LAL,TOR,W,36.25,9,17,0.529,5,8,0.625,4,6,0.667,0,6,6,10,1,0,0,1,27,27.3,11/1/24
Shai Gilgeous-Alexander,OKC,POR,W,28.38,12,18,0.667,1,6,0.167,5,6,0.833,1,6,7,6,1,0,3,1,30,26.1,11/1/24
Jayson Tatum,BOS,CHO,W,35.63,9,19,0.474,3,9,0.333,11,13,0.846,1,10,11,3,3,1,5,1,32,25.6,11/1/24
Jalen Suggs,ORL,CLE,L,36.55,10,20,0.5,1,7,0.143,7,8,0.875,1,7,8,7,3,1,3,2,28,25.2,11/1/24
De'Aaron Fox,SAC,ATL,W,37.13,11,16,0.688,4,6,0.667,5,6,0.833,0,7,7,3,4,0,6,3,31,24.8,11/1/24
DeMar DeRozan,SAC,ATL,W,38.78,9,16,0.563,1,1,1,8,10,0.8,1,7,8,2,3,1,1,2,27,24.7,11/1/24
Gradey Dick,TOR,LAL,L,31.58,13,26,0.5,5,11,0.455,0,0,0,2,5,7,3,1,0,1,2,31,22.2,11/1/24
OG Anunoby,NYK,DET,W,32.78,8,15,0.533,3,5,0.6,2,2,1,2,2,4,6,2,0,0,0,21,21.9,11/1/24
Jakob Poeltl,TOR,LAL,L,35.1,9,14,0.643,0,0,0,1,1,1,6,6,12,6,0,3,2,3,19,21.9,11/1/24
Karl-Anthony Towns,NYK,DET,W,27.47,8,18,0.444,3,6,0.5,2,3,0.667,3,8,11,7,2,1,1,1,21,21.9,11/1/24
Jalen Williams,OKC,POR,W,26.27,8,12,0.667,4,6,0.667,2,2,1,1,4,5,4,4,0,3,2,22,21.7,11/1/24
Cam Thomas,BRK,CHI,W,31.75,11,23,0.478,4,11,0.364,6,7,0.857,0,0,0,4,1,0,2,1,32,21.3,11/1/24
Michael Porter,DEN,MIN,L,38.88,11,18,0.611,3,7,0.429,1,2,0.5,2,4,6,4,2,0,3,2,26,21,11/1/24
Anthony Edwards,MIN,DEN,W,38.3,11,23,0.478,7,14,0.5,0,0,0,0,4,4,4,1,1,2,1,29,20.6,11/1/24
Jaylen Brown,BOS,CHO,W,36.5,8,19,0.421,0,6,0,9,10,0.9,3,3,6,5,1,1,1,3,25,20.5,11/1/24
Julius Randle,MIN,DEN,W,36.55,8,13,0.615,2,5,0.4,5,5,1,1,5,6,7,0,0,3,3,23,20,11/1/24
Rudy Gobert,MIN,DEN,W,35.97,7,10,0.7,0,0,0,3,4,0.75,4,10,14,3,1,2,2,3,17,19.5,11/1/24
Brandon Ingram,NOP,IND,W,35.3,10,25,0.4,3,8,0.375,3,3,1,2,4,6,7,1,2,2,3,26,19.2,11/1/24
Garrison Mathews,ATL,SAC,L,29.6,8,15,0.533,7,13,0.538,0,0,0,0,1,1,2,2,1,0,3,23,18.9,11/1/24
Cade Cunningham,DET,NYK,L,32.08,10,19,0.526,2,4,0.5,0,0,0,0,6,6,6,0,1,1,1,22,18,11/1/24
